timestamp,label,sensor_88,sensor_115
2008-07-19 11:55:00,-1,1747.6049,748.6115
2008-07-19 12:32:00,-1,1931.6464,731.2517
2008-07-19 13:17:00,1,1685.8514,718.5777
2008-07-19 14:43:00,-1,1752.0968,709.0867
2008-07-19 15:22:00,-1,1828.3846,796.595
2008-07-19 17:53:00,-1,1832.6305,748.0887
2008-07-19 19:44:00,-1,1740.6472,806.2734
2008-07-19 19:45:00,-1,1826.1111,778.3335
2008-07-19 20:24:00,-1,1788.8624,748.563
2008-07-19 21:35:00,-1,1712.8033,786.6071
2008-07-19 21:57:00,1,1732.2002,636.9547
2008-07-19 22:52:00,1,1632.312,725.8145
2008-07-20 03:35:00,-1,1891.4401,670.3646
2008-07-21 08:21:00,-1,1706.2759,756.9414
2008-07-21 11:53:00,1,1839.845,736.1852
2008-07-22 00:03:00,-1,1777.4358,762.8943
2008-07-22 02:59:00,-1,1717.1081,729.7498
2008-07-22 08:41:00,-1,1777.3281,769.1809
2008-07-22 11:47:00,-1,1773.5327,790.0665
2008-07-22 14:00:00,-1,1822.7262,768.1313
2008-07-22 15:30:00,-1,1769.7554,852.5298
2008-07-23 05:15:00,-1,1859.4925,804.2368
2008-07-23 19:22:00,-1,1765.2057,700.0255
2008-07-25 15:23:00,1,1843.7237,762.9077
2008-07-27 04:18:00,-1,1710.6147,653.0773
2008-07-27 09:37:00,-1,1859.2332,771.7826
2008-07-27 11:10:00,-1,1879.3624,748.729
2008-07-27 15:46:00,-1,1920.2216,735.4067
2008-07-27 16:06:00,-1,1795.493,761.5706
2008-07-27 16:49:00,-1,1805.2925,746.772
2008-07-27 20:24:00,-1,1794.4718,814.7503
2008-07-27 22:28:00,-1,1841.8205,627.1345
2008-07-27 22:28:00,-1,1878.6376,750.5962
2008-07-27 23:14:00,-1,1841.8205,782.6006
2008-07-28 03:31:00,-1,1840.4916,757.7612
2008-07-28 03:48:00,-1,1773.4197,662.9427
2008-07-28 04:37:00,-1,1804.703,716.5576
2008-07-28 05:36:00,-1,1805.2925,767.7303
2008-07-28 06:45:00,1,1831.8286,656.7414
2008-07-28 08:36:00,-1,1792.1586,785.4558
2008-07-28 15:11:00,1,1797.941,731.0955
2008-07-28 23:57:00,-1,1844.2923,711.6416
2008-07-29 04:08:00,-1,1769.3696,673.8036
2008-07-29 05:16:00,-1,1813.8976,764.948
2008-07-29 06:19:00,-1,1891.4401,700.7723
2008-07-29 08:23:00,1,1801.9478,767.6058
2008-07-29 11:47:00,-1,1823.9266,656.7325
2008-07-29 15:41:00,-1,1806.4107,765.9619
2008-07-29 15:49:00,1,1836.6503,759.8721
2008-07-29 17:05:00,1,1854.7794,792.1467
2008-07-29 18:08:00,1,1787.9799,768.0063
2008-07-29 21:07:00,-1,1915.1296,718.8014
2008-07-29 23:14:00,-1,1717.3568,759.6985
2008-07-29 23:19:00,-1,1874.2109,804.678
2008-07-30 06:30:00,-1,1837.5602,755.8207
2008-07-30 07:08:00,-1,1861.767,741.3105
2008-07-30 12:02:00,-1,1832.5502,755.125
2008-07-30 12:29:00,1,1841.8205,704.9014
2008-07-30 21:16:00,1,1902.0905,753.9392
2008-07-31 13:57:00,-1,1894.5316,734.0928
2008-07-31 15:36:00,-1,1764.308,778.7802
2008-07-31 17:07:00,-1,1796.1029,754.8984
2008-07-31 20:18:00,1,1775.4565,714.136
2008-08-01 02:02:00,-1,1862.9489,773.7589
2008-08-01 05:52:00,1,1780.3646,760.5687
2008-08-01 10:20:00,-1,1789.9489,771.0169
2008-08-01 10:26:00,-1,1833.5472,735.9707
2008-08-01 11:28:00,-1,1836.76,737.6565
2008-08-01 12:29:00,-1,1806.4107,755.5991
2008-08-01 14:07:00,-1,1859.3656,773.8504
2008-08-01 15:10:00,-1,1809.8522,757.3824
2008-08-02 03:39:00,-1,1862.9489,733.8516
2008-08-03 13:09:00,-1,1813.8976,763.8563
2008-08-03 14:06:00,-1,1789.4793,711.8571
2008-08-03 14:25:00,-1,1764.3276,773.7833
2008-08-03 15:03:00,-1,1793.9021,823.2608
2008-08-03 15:27:00,-1,1802.3303,760.5186
2008-08-03 16:00:00,-1,1816.0286,760.1941
2008-08-03 17:00:00,-1,1857.068,722.0756
2008-08-03 17:58:00,-1,1836.6503,744.4707
2008-08-03 20:23:00,-1,1808.3115,726.8887
2008-08-03 22:52:00,-1,1862.9306,790.1841
2008-08-04 00:39:00,1,1883.8396,771.4724
2008-08-04 03:45:00,-1,1794.9025,738.2523
2008-08-04 03:49:00,-1,1739.2144,735.1842
2008-08-04 13:19:00,-1,1831.4598,716.1579
2008-08-04 14:04:00,-1,1822.7262,767.3358
2008-08-04 14:31:00,-1,1841.0643,731.1757
2008-08-04 15:29:00,-1,1747.538,757.1042
2008-08-04 16:15:00,-1,1778.933,768.9496
2008-08-04 16:31:00,-1,1851.4578,795.0289
